DateG,DateH,Day,City,Holiday Name,Type of Public Holiday,School,Cloudy,Widespread Dust,Blowing Dust,Fog,Mist,Rain,Comments,Match,Event,Effect on City,Link Source,Pay Day,days till next payday,days after payday,days after school,days before school,Semesters
29/01/2024,17/07/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,30,2,16,24,
30/01/2024,18/07/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,National Cup,FALSE,FALSE,FALSE,FALSE,29,1,17,23,
31/01/2024,19/07/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Liverpool FC vs Chelsea FC,Preimer League,FALSE,FALSE,FALSE,FALSE,28,0,18,22,
01/02/2024,20/07/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,27,28,19,21,
02/02/2024,21/07/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,26,27,20,20,
03/02/2024,22/07/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,25,26,21,19,
04/02/2024,23/07/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Arsenal FC vs Liverpool FC,"Preimer League, La liga",FALSE,FALSE,FALSE,FALSE,24,25,22,18,
05/02/2024,24/07/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,23,24,23,17,
06/02/2024,25/07/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,22,23,24,16,
07/02/2024,26/07/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,21,22,25,15,
08/02/2024,27/07/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Hilal vs Al Nassr,KSA League,FALSE,FALSE,FALSE,FALSE,20,21,26,14,
09/02/2024,28/07/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,19,20,27,13,
10/02/2024,29/07/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,18,19,28,12,
11/02/2024,1/8/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,17,18,29,11,
12/02/2024,2/8/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,16,17,30,10,
13/02/2024,3/8/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,15,16,31,9,
14/02/2024,4/8/1445,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,UEFA CL,FALSE,FALSE,FALSE,FALSE,14,15,32,8,
15/02/2024,5/8/1445,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,13,14,33,7,
16/02/2024,6/8/1445,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,12,13,34,6,
17/02/2024,7/8/1445,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Manchester City FC vs Chelsea FC,Preimer League,FALSE,FALSE,FALSE,FALSE,11,12,35,5,
18/02/2024,8/8/1445,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,10,11,36,4,
19/02/2024,9/8/1445,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,9,10,37,3,
20/02/2024,10/8/1445,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,8,9,38,2,
